Question,Choice 1,Choice 2,Choice 3,Choice 4,Correct Answer,Source,Explanation
What is the difference between a tenant's vacating leased premises and abandoning the premises?,Vacating the premises terminates the tenant's lease obligations,Abandonment implies that the tenant shows no intention of fulfilling the lease obligations,Vacating the premises terminates the landlord's lease obligations,Vacating the premises is automatically a tenant default,2,PREP-AL-7.15,"If a tenant abandons a leased property and demonstrates no intention of fulfilling the obligations of the lease, the landlord may retake possession and pursue legal recourses for default. It is important to note that vacating leased premises does not in itself constitute abandonment, and certainly not if the tenant continues to abide by the lease obligations"
A periodic leasehold or a tenancy at will can usually be terminated by,either party giving proper notice,either party without notice,"a sublease, with the lessor's approval",an assignment by the lessor,1,PREP-AL-7.16,"In the absence of an explicit term with beginning and ending date, a court will generally construe the lease to be a tenancy at will, cancelable upon proper notice"
"Under the Uniform Residential Landlord and Tenant Act, if a lease does not state a clear expiration date, the lease is regarded as",invalid,a tenancy from period-to-period,a tenancy at will,a tenancy for years,2,PREP-AL-7.17,"URLTA sets standards for improving oral, vague, or unbalanced lease agreements. In the case of an unclear lease expiration date, the lease is generally deemed to be a periodic tenancy"
"If a tenant is seeking a remedy for an alleged landlord default and the landlord disputes the claim, the Uniform Residential Landlord and Tenant Act allows the tenant to",terminate the lease,abate the rental payments while the dispute is settled,make the rental payments to a court impound pending resolution,deny the landlord access to the premises,3,PREP-AL-7.18,"Tenants generally are not released of liability for rent during a dispute. Rents, however, may be paid to a court impound pending judgment"
The Uniform Residential Landlord and Tenant Act generally does not apply to,a residence that is under a contract for deed,a single-family residence,a unit in an apartment building that has fewer than ten units,a duplex in which the owner occupies one of the units,1,PREP-AL-7.19,"State laws based on URLTA generally do not apply to transient occupancies, such as hotel and motel rentals, proprietary leases in cooperatives, or to occupancy in a residence that is under a contract for deed"
"In the implementation of land use controls, why should a community be concerned about the effects on individual property values?",Preservation of property values is the sole purpose of public land use control,Sudden increases in property values place a burden on municipal services,"In most communities, taxes based on property values support needed government services","If property is controlled, values will decline",3,PREP-AL-8.1,"The community must keep in mind the effect of government actions on individual property values, since local government is largely supported by taxes based on the value of property"
What is the relationship between master planning and zoning ordinances?,The compilation of zoning ordinances is the master plan,A master plan eliminates the need for zoning ordinances,Master planning is a state-level function; zoning is limited to the county level,Zoning ordinances are a primary means of keeping land use in line with the master plan,4,PREP-AL-8.2,Zoning is the primary tool by which cities and counties regulate land use and implement their respective master plans
One of the major considerations in planning where to allow growth is,the number of developers asking for permits,the effect of development on traffic patterns,the median age of the community,the number of housing starts reported for neighboring communities,2,PREP-AL-8.3,"In addition to the quantity of growth, a master plan also defines what type of growth will occur, and where. Major considerations include effect of new developments on traffic patterns and thoroughfares"
The basic intent of zoning ordinances is to,establish the basis for public ownership of land for the common good,establish subdivision rules and regulations,specify usage for every parcel within the zoning authority's jurisdiction,restrict development in unincorporated areas,3,PREP-AL-8.4,The intent of zoning ordinances is to specify land usage for every parcel within the jurisdiction
Why do zoning authorities create different types of zones?,To ensure that a variety of construction types is available in the community,To separate different types of uses so that they do not interfere with each other,To preserve low density land uses,To encourage industrial and commercial users to relocate,2,PREP-AL-8.5,One of the primary applications of zoning power is the separation of residential properties from commercial and industrial uses. Proper design of land use in this manner preserves the aesthetics and value of neighborhoods and promotes the success of commercial enterprises through intelligently located zones
"What is a ""buffer zone?""",A transitional zone between a residential zone and a commercial zone,An area zoned as a public park,A temporary zone created to allow users to come into compliance with a change in zoning,A zone around the boundaries of a municipality,1,PREP-AL-8.6,Some areas adopt buffer zones to separate residential areas from commercial and industrial zones
"What is meant by ""intensity of usage?""",The number of building lots per acre,The number of people per square mile,The number of building permits issued per year within a zoning jurisdiction,The area of a commercial or industrial facility in relation to the size of the site,4,PREP-AL-8.7,"Commercial zoning regulates intensity, or how much commercial activity is permitted in relation to size of the site"
How does Planned Unit Development zoning differ from ordinary zoning?,It applies only to industrial and office parks,It incorporates a number of different zones within a single property boundary,It requires that multiple tracts of land be developed according to a single design for efficient use of space,It requires developers to obtain a separate building permit for every structure,3,PREP-AL-8.8,PUD zoning designed to regulate use of whole tracts of land with a singular design
Which of the following situations is most likely to represent an illegal nonconforming use?,A homeowner in a residential zone converts her residence to rental offices,A homeowner builds an attached garage in a neighborhood where all the garages are detached,"A storeowner remodels a storefront in accordance with regulations, and then the zoning is changed to residential",A new zoning ordinance outlaws two-story additions after a homeowner completes an addition,1,PREP-AL-8.9,An illegal nonconforming use is one that conflicts with ordinances that were in place before the use commenced. Turning an existing building zoned for residential use into a building that does not conform to residential use would be an illegal nonconforming use
What is the difference between a variance and a nonconforming use?,"A variance, once granted, is unconditional and permanent",A variance is granted by the zoning board if the owner has a justifiable reason,A nonconforming use is allowed if the owner requests it in advance of building,"A nonconforming use violates current zoning, but a variance does not",2,PREP-AL-8.10,A zoning variance allows a use that differs from the applicable ordinance for a variety of justifiable reasons. A nonconforming use is one that clearly differs from current zoning
"To obtain a change of the zoning for a particular property, for example, from residential to commercial, a property owner would ask the zoning board for a(n)",amendment,special exception,plat approval,special ordinance,1,PREP-AL-8.11,"In an amendment, a current or potential property owner may petition the zoning board for an outright change in the zoning of a particular property"
"As evidence that building inspectors have found that a structure complies with building codes and is ready for use, the municipality or county issues a(n)",inspection report,release bond,certificate of occupancy,user permit,3,PREP-AL-8.12,"Building inspectors inspect a new development or improvement for code compliance. If the work complies, the municipality or county issues a certificate of occupancy which officially clears the property for occupation and use"
Which of the following is true of a successful eminent domain proceeding?,It cancels the property owner's mortgage loan balance,It leaves the property owner with equitable title in place of legal title,"It extinguishes leases, liens, and other encumbrances on the property taken","It eliminates the ""chain of title"" by canceling the original grant",3,PREP-AL-8.13,"Transfer by eminent domain of title extinguishes all existing leases, liens, and other encumbrances on the property"
"Among other provisions, the Superfund Act (CERCLA) and Superfund Amendment and Reauthorization Act of 1986 provided that",large development projects undergo an environmental impact survey immediately after completion of construction,industrial users of real estate comply with air quality standards,"the EPA would give financial help to homeowners to remedy any hazardous situation resulting from radon, asbestos, or lead-based paint",parties responsible for improper disposal of hazardous waste could be charged for the cleanup costs,4,PREP-AL-8.14,The Superfund act provided money for hazardous waste disposal and the authority to charge cleanup costs to responsible parties
A property owner acquired a property by means of a deed that included a deed restriction against building any kind of unattached structures on the property.  The owner now wants to build a small office/art studio in a separate structure.  What can the owner do to overcome the restriction?,Apply to the Zoning Board of Appeals for a special permit,Have the necessary parties execute a quitclaim deed,Sue in court to have the deed declared invalid,Obtain written permission to violate the restriction from the original grantor,2,PREP-AL-8.15,"A restriction expressed in a conveyance (deed or lease) of a residential, commercial, or industrial property places limits on the use of the property. Such restrictions are also referred to as ""covenants, conditions, and restrictions,"" or CCRs. A quitclaim deed can terminate a private deed restriction"
Homeowners’ associations are empowered to,impose maintenance requirements on home owners in the association.,establish rules that override local municipal ordinances and laws.,evict home owners for non-payment of  taxes on their property.,take a home owner’s property by eminent domain for the general use of the association.,1,PREP-AL-8.16,"Homeowners’ associations (HOAs) are bodies, usually established by developers, that determine rules and regulations for the operation of a housing development. The rules are presented in a Declaration of Covenants, Conditions, and Restrictions (CC&Rs) for the development and in association by-laws. Common regulations include fee obligations, pet restrictions, rental guidelines, maintenance standards, occupancy limits, parking, noise, and required insurance.
An HOA may not impose a rule that conflicts with the law or violates homeowner rights. Infringements of rules and regulations may be enforced by the action of a civil court."
A legal description of a property is one which,accurately locates and identifies the boundaries of the property and distinguishes it from all other properties,accurately identifies the boundaries of the property and describes the location and dimensions of any improvements on the property,is accepted by a licensed surveyor as suitable for inclusion in a survey of the property,written by an attorney licensed to practice real estate law in the state in which the property is located,1,PREP-AL-9.1,A legal description of real property is one which accurately locates and identifies the boundaries of the subject parcel to a degree acceptable by courts of law in the state where the property is located. The general criterion for a legal description is that it alone provides sufficient data for a surveyor to locate the parcel. A legal description identifies the property as unique and distinct from all other properties
What method of legal description was the first one used in America?,Rectangular survey system,Metes and bounds system,Recorded plat system,Range and tier system,2,PREP-AL-9.2,"A metes and bounds description identifies the point of beginning and describes the distance and direction from that point to the first monument, and thence to subsequent monuments and back to the beginning to define the property's enclosed perimeter"
A certain property has the following general features: Which of the following statements would provide a (partial) metes and bounds description of the property?,"Commencing at A, thence south 0 degrees east to B, thence north 45 degrees west to C, thence north 0 degrees west to D, thence north 90 degrees east to the point of beginning","Commencing at A, thence 90 degrees south to B, thence west 45 degrees north to C,  then east to the point of beginning","Commencing at A, thence south 90 degrees west to B, thence north 45 degrees west to C, thence north 0 degrees east to D, thence 90 degrees east to the point of beginning","Commencing at A, thence south 0 degrees east to B, thence west 45 degrees north to C, thence north 0 degrees east to D, thence east 0 degrees north to the point of beginning",1,PREP-AL-9.3,The metes and bounds descriptions begin and end at the same point.  Only option A will get you back to the POB
The fundamental components of the metes and bounds system are,"parallels, base lines, and meridians","boundaries, distances, and a base line","reference points, angles, and distances","lot numbers, sections, and ranges",3,PREP-AL-9.4,"A metes and bounds description identifies the boundaries of a parcel of real estate using reference points, distances, and angles. The description always identifies an enclosed area by starting at an origination point, called point of beginning, or POB, and returning to the POB at the end of the description"
A legal description in the rectangular survey system will also include a metes and bounds or lot and block description if the property,falls within two townships,is more than six miles from a standard parallel,has been surveyed since 1790,is irregular in shape,4,PREP-AL-9.5,"For an irregular shape, such as a triangle, the full description has to include a metes and bounds or lot and block description"
Which of the following best describes a meridian?,An east-west line that corresponds to a latitude on a rectangular survey grid,An east-west latitudinal  line 6 miles in length used to describe a township’s north or south border,A north-south longitudinal line on a rectangular survey grid,A north-south longitudinal line 6 miles in length used to describe a township’s east or west border,3,PREP-AL-9.6,"The north-south, longitudinal lines on a rectangular survey grid are meridians"
What is the purpose of a principal meridian and base parallel?,Used to divide townships into sections,Identifying townships in the jurisdiction,To establish the distance between all meridians and parallels,To differentiate a tier from a range,2,PREP-AL-9.7,"The principal meridian is the single designated meridian for identifying townships in the principal meridian's geographical ""jurisdiction."" The base parallel or base line is the designated line for identifying townships"
How far apart are parallels?,Six miles,One mile,Twenty-four miles,Thirty-six miles,1,PREP-AL-9.8,"Parallels are for identifying townships. Townships are six miles by six miles in size, making parallels six miles apart"
Which of the following is true?,A township is the area enclosed by principal meridians and base parallels,A township’s sections are six miles apart,There are 36 townships in a section,There are 36 sections in a township,4,PREP-AL-9.9,"A township is a square with six miles on each side. Its area is 36 square miles. Each section within a township is one square mile, making 36 sections in a township"
A range is defined by,two consecutive parallels,two consecutive meridians,the distance between a principal meridian and a base parallel,a parallel and a meridian,2,PREP-AL-9.10,"The ""vertical"" area between consecutive meridians is called a range. A range is identified by its relationship to the principal meridian. All ranges are six miles wide"
A tier is defined by,two consecutive township strips,two consecutive meridians,two consecutive parallels,a parallel and a meridian,3,PREP-AL-9.11,"The ""horizontal"" area between two parallels is called a tier, or a township strip. A tier is identified by its relationship to the base parallel. All tiers are six miles wide"
What are the dimensions of a township?,One mile by one mile,Six square miles,Six miles by six miles,One square mile,3,PREP-AL-9.12,"A township is the area enclosed by the intersection of two consecutive meridians and two consecutive parallels. Since the parallels and meridians are six miles apart, a township is a square with six miles on each side. Its area is therefore 36 square miles"
Sections of a township are numbered in which of the following directions?,"From the northeast corner toward the west and on to the southeast corner, alternating direction in each row","From the northwest corner toward the east and on to the southwest corner, alternating direction in each row","North to south from left to right in each row, starting in the northwest corner",Clockwise in a spiral beginning in the northeast corner,1,PREP-AL-9.13,"The sections in a township are numbered sequentially starting with Section 1 in the northeast corner, proceeding east to west across the top row, continuing from west to east across the next lower row, and so on, alternately, ending with Section 36 in the southeast corner"
What portion of a section is ten acres?,1/8,1/16,1/32,1/64,4,PREP-AL-9.14,"The size in acres of a subsection of a township is a fraction of 640 acres, since there are 640 acres in a section. Thus ten acres is 10/640, or 1/64th of a section"
A tract of land is 1/32nd of a section.  How many acres does this tract consist of?,10 acres,20 acres,40 acres,80 acres,2,PREP-AL-9.15,A section is 640 acres. 640 ÷ 32 = 20 acres
The lot and block system of description is used for,rural properties,any property in an incorporated area,rectangular properties,properties in a subdivision,4,PREP-AL-9.16,"The recorded plat method, also called the lot and block system, is used to describe properties in residential, commercial, and industrial subdivisions. Under this system, tracts of land are subdivided into lots. The entire group of lots comprises the subdivision. In a large subdivision, lots may be grouped together into blocks for ease of reference"
The valuable consideration necessary to make a contract valid must be,money,something tangible,something specifically offered in exchange for something else,something of equal value with whatever is received in exchange,3,PREP-AL-10.1,"A contract must contain a two-way exchange of valuable consideration as compensation for performance by the other party. The contract is not valid or enforceable if just one party provides consideration. Valuable consideration may be something of tangible value, such as money, or something the party promises to do. It may also be something intangible that a party must give up"
The necessary condition of mutual consent may be found lacking in a contract if,the two parties did not discuss every possible interpretation of the contract's provisions,the offer which was accepted is vague,one party did not have the legal authority to sign the contract,the agreement is unwritten,2,PREP-AL-10.2,"Mutual consent, also known as offer and acceptance and meeting of the minds, requires that a contract involve a clear and definite offer and an intentional, unqualified acceptance of the offer. In effect, the parties must agree to the terms without equivocation. A court may nullify a contract where the acceptance of terms by either party was partial, accidental, or vague"
A contract that conveys an interest in real estate must,contain a legal description of the property,be written on a form approved by the state bar association,be either nuncupative or holographic,be recorded within three days to be enforceable,1,PREP-AL-10.3,"In addition to satisfying the requirements of a valid contract in general, a contract that conveys an interest in real estate must be in writing, contain a legal description of the property, and be signed by one or more of the parties"
"A party sells a summer cottage appraised at $300,000 to a stranger for $150,000.  The seller's family wants to challenge the validity of the sale contract.  The most apparent weakness of the contract that they might be able to attack is the",illegality of the contract's intent,insufficiency of the consideration exchanged for the property,lack of consent on the part of the seller's family,lack of good faith on the part of the buyer,2,PREP-AL-10.4,"Grossly insufficient consideration, such as $50,000 for a $2 million property, may invalidate a contract on the grounds that the agreement is a gift rather than a contract."
"An oral contract to sell mineral rights is performed by both parties.  Six months later, the seller has second thoughts and wants to reclaim the rights under the Statue of Frauds.  What is the likelihood that the seller will succeed?","Nil, because the Statute of Frauds is irrelevant to a contract that has been performed","Good, because an oral contract to convey a real estate interest is unenforceable under the Statute of Frauds","Good, because the contract is voidable","Nil, because the buyer committed no fraud",1,PREP-AL-10.5,"Once the parties to a valid oral contract have executed and performed it, even if the contract was unenforceable, a party cannot use the Statute of Frauds to rescind the contract"
How much time does a seller have to accept a buyer's offer?,Forty-eight hours from the time of the offeror's signing of the offer,Twenty-four hours from the time of the offer's delivery to the seller,As long as the seller wants,"A ""reasonable"" time, or until the expiration date on the offer",4,PREP-AL-10.6,"If an offer contains an expiration date and the phrase ""time is of the essence,"" the offer expires at exactly the time specified. In the absence of a stated time period, the offeree has a ""reasonable"" time to accept an offer"
"A buyer submits an offer to a seller and then dies in a car accident.  Before learning of the buyer's death, the seller accepts the offer. Which of the following is true?",The seller can force the buyer's estate to go through with the purchase,The buyer's death terminated the offer,The seller must make a new offer with the same terms to the buyer's heirs,The buyer's heirs have the option of enforcing the contract,2,PREP-AL-10.7,Any of the following actions or circumstances can terminate an offer: acceptance; rejection; revocation; lapse of time; counteroffer; or death or insanity of either party
Which of the following contracts can be assigned to another party?,An exclusive listing agreement,An exclusive agency agreement,A contract for the sale of a house,An employment contract between a broker and a salesperson,3,PREP-AL-10.8,A real estate contract that is not a personal contract for services can be assigned to another party unless the terms of the agreement specifically prohibit assignment
An implied contract may be deemed to exist if,the parties do not disavow an express contract that has expired,the parties act is if there is a contract,an offering party does not receive written notice that the offer has been rejected,the parties promise to perform their part of the agreement if the other party performs,2,PREP-AL-10.9,An implied contract is an unstated or unintentional agreement that may be deemed to exist when the actions of any of the parties suggest the existence of an agreement
Which of the following is an executory contract?,An expired lease,A sale contract before closing,A recorded sale contract,An option to buy after it is exercised,2,PREP-AL-10.10,"An executory contract is one in which performance is yet to be completed. A sales contract prior to closing is executory: while the parties have agreed to buy and sell, the buyer has yet to pay the seller and the seller has yet to deed the property to the buyer"
A bilateral contract is one in which,both parties promise to do something in exchange for the other party's performance,both parties receive equal consideration,both parties agree to perform a service,one party promises to do something if the other party performs first,1,PREP-AL-10.11,"A bilateral contract is one in which both parties promise to perform their respective parts of an agreement in exchange for performance by the other party. An example of a bilateral contract is an exclusive listing: the broker promises to exercise due diligence in the efforts to sell a property, and the seller promises to compensate the broker when and if the property sells"
A homeseller signs a listing agreement with a broker and the next week decides not to sell and revokes the listing.  Which of the following is true?,The seller has no contractual obligations to the broker,The contract remains in full force until the expiration date,The broker may have a claim for damages,The seller cannot sign a listing agreement with another broker,3,PREP-AL-10.12,A damaged party may sue for money damages in civil court
A breach of contract is,a termination of the contract by the mutual consent of the parties,financial damage suffered by a party because another party has nullified a contract provision,a lawsuit to force a party to discharge the contract,the failure of a party to perform according to the terms of the contract,4,PREP-AL-10.13,A breach of contract is a failure to perform according to the terms of the agreement
What is rescission?,The act of withdrawing an offer before it has been accepted,The act of nullifying a contract,The act of declaring a contract unenforceable,The act of modifying the terms of an offer,2,PREP-AL-10.14,"Parties to a contract may rescind a contract by mutual consent, or a damaged party may rescind the contract unilaterally. This act of rescission cancels the contract and returns the parties to their pre-contract condition, including the refunding of any monies already transferred"
"In a suit for damages by reason of default, the damaged party may claim liquidated damages if",the contract stated a specific amount due to a damaged party,the contract stated that a defaulting party could not profit from the contract,the defaulting party owns property that can be foreclosed to pay the damages,the contract stated that a damaged party could take legal action to enforce the contract,1,PREP-AL-10.15,"When a contract states the total amount due to a damaged party in the event of a breach, the compensation is known as liquidated damages. If the contract does not specify the amount, the damaged party may sue in court for unliquidated damages"
The agency relationship is defined by,the Realtor® Code of Ethics,the laws of agency,the law of real estate contracts,the agreement between a principal and an agent,2,PREP-AL-11.1,"In every state, a body of law, generally called the law of agency, defines and regulates the legal roles of this relationship. While the relationship is subject to contract law, agency law dictates how the relationship will achieve its purposes, regardless of what the listing contract states"
Which of the following is true of the connection between compensation and the agency relationship?,An agreement to give and receive compensation creates an agency relationship,"If an agency relationship exists, the principal must provide valuable consideration to the agent",The relationship is independent of any compensation arrangement,"If an agency relationship exists, the agent is entitled to compensation",3,PREP-AL-11.2,It is important to understand that the agency relationship does not require compensation or any form of consideration. Nor does compensation define an agency relationship: a party other than the principal may compensate the agent
The defining feature of a special agency is that the agent has authority to perform,all actions legally delegated by a power of attorney,all actions necessary to conduct an enterprise on behalf of the principal,all actions necessary to complete a specific transaction on behalf of the principal,"specific activities on behalf of the principal, as defined in the agency agreement",4,PREP-AL-11.3,"Under a special agency agreement, the principal delegates authority to conduct a specific activity, after which the agency relationship terminates"
The agent and principal may terminate the agency relationship by mutual consent,at any time,at any time until the agent has begun to perform the obligations of the agreement,only if the written agreement provides for cancellation,only if the principal and agent have a contract,1,PREP-AL-11.4,The parties to an agency relationship may terminate the relationship at any time by mutual agreement
"If an agency relationship terminates because one of the parties defaulted, which of the following is true?",All obligations are extinguished,Both parties must continue to perform all obligations of the agreement,The defaulting party may have a financial liability,The damaged party has no claim against the defaulting party,3,PREP-AL-11.5,"Involuntary termination of the relationship may create legal and financial liability for a party who defaults or cancels. For example, a client may renounce an agreement but then be held liable for the agent's expenses or commission"
Among the fiduciary duties imposed on a real estate agent is the requirement to,refuse offers the agent knows will be unacceptable to the principal,present all offers to the principal,advise the principal against accepting an offer that is below full price,advise a prospect that the principal will not accept the prospect's offer in order to elicit a better offer,2,PREP-AL-11.6,"A conventional listing agreement does not authorize an agent to obligate the client to contracts, and it does not allow the agent to conceal offers to buy, sell, or lease coming from a customer or another agent. Further, since a client relies on a broker's representations, a broker must exercise care not to offer advice outside of his or her field of expertise"
One of the agent's fiduciary duties that continues even after a listing agreement expires is,obedience,diligence,confidentiality,disclosure,3,PREP-AL-11.7,The confidentiality standard is one of the duties that extends beyond the termination of the listing: at no time in the future may the agent disclose confidential information
The level of competence that a principal has the right to expect from an agent is generally that which is,specified in the agency agreement,necessary to earn the promised compensation,necessary to procure a customer,comparable to that of other practitioners in the area,4,PREP-AL-11.8,"The agent is hired to do a job, and is therefore expected to do it with diligence and reasonable competence. Competence is generally defined as a ""standard of practice"" equal to the level of real estate marketing skills and knowledge of other practitioners in the area"
"If a potential buyer discloses financial qualifications to a seller's agent, the agent is required to",keep the information in confidence,disclose the information to the buyer's agent,disclose the information to the seller,verify the buyer's statements before disclosing them to the client,3,PREP-AL-11.9,"An agent has the duty to inform the client of all material facts, reports, and rumors that might affect the client's interests in the property transaction. This includes: the agent's opinion of the property's condition; information about the buyer's motivations and financial qualifications; discussions between agent and buyer regarding the possibility of the agent's representing the buyer in another transaction"
A buyer's broker owes the full set of fiduciary duties to,the buyer,the seller,the party who will pay the commission,the seller's agent,1,PREP-AL-11.10,"The agency relationship imposes fiduciary duties on the client and agent, but particularly on the agent. The buyer is a client of the buyer's broker, and the buyer's broker is an agent of the buyer"
A subagent is technically the agent of,the seller,the buyer,a broker who has an agency relationship with a client,the client's and the customer's agents,3,PREP-AL-11.11,"In a subagency, a broker or licensed salesperson works as the agent of a broker who is the agent of a client. Subagents might include a cooperating licensed broker, that broker's licensed salespeople, and the listing broker's licensed salespeople, all of whom agree to work for the listing broker on behalf of the client"
Which of the following is a dual agency situation?,Two agents share the exclusive right to represent the same client,One agent represents both sides in a transaction,A selling agent from one brokerage works with a listing agent from another brokerage to complete a transaction,One agent represents two sellers at the same time,2,PREP-AL-11.12,Dual agency means representing both principal parties to a transaction. The agent represents both buyer and seller or tenant and owner
Which of the following situations has the potential for creating an implied dual agency?,A listing agent's subagent learns that a potential buyer has made false claims about his financial qualifications and informs the listing agent,A listing agent's subagent learns that a potential buyer has made false claims about his financial qualifications and does not inform the listing agent,A buyer's agent notices a structural problem in a house the buyer is considering and informs the buyer,A buyer's agent notices a structural problem in an house the buyer is considering and informs the buyer and the seller's agent,2,PREP-AL-11.13,"If a broker or agent acts in any way that leads a customer to believe that the agent is representing the customer, a dual agency has potentially been created. For example, a buyer makes confidential disclosures to the agent who works for the seller and exhorts the agent to keep them confidential. The buyer wants the house but knows he is going to lose his job in a month and probably will not qualify for financing. If the agent agrees to keep the information confidential, the agent has not only created an agency relationship with the buyer, but is now in a dual agency situation. Moreover, if the agent fails to disclose the buyer's confidence to the seller, the agent has violated fiduciary duty to the seller"
"Among the duties of a broker who is acting as a transaction broker, or facilitator, is",preserving the confidentiality of information received from either party by not telling the other party,helping the two parties to arrive at a deal that is closest to achieving the objectives of each party,disclosing material facts that affect the value of the property to both parties,choosing to obey the instructions of one party and informing the other party of the decision,3,PREP-AL-11.14,"In the role of facilitator, the broker's only fiduciary duties and standards of conduct are those of accounting; skill, care, and diligence; honesty and fair dealing; and disclosure to both parties of all material facts in residential sale transactions affecting the property's value. Some states do not allow for this form of relationship in a real estate transaction"
In which of the following contact situations would a seller's agent be expected to disclose his agency relationships?,The agent is showing the client's property to a prospective buyer,The agent tells an acquaintance at a party about the client's property,The agent answers questions about the client's property for a telephone caller responding to a newspaper ad,The agent is showing a potential buyer houses in a certain price range in the multiple listing book,1,PREP-AL-11.15,"Agency disclosure must occur upon ""substantive contact"" between the listing agent and a customer. Examples of substantive contact include: showing the prospect a property; eliciting confidential information from a prospect regarding needs, motivation, or financial qualification; and executing a contractual offer to sell or lease"
Which of the following is TRUE of a designated agency relationship?,The client has an implied agency relationship with all licensed agents in the designated agent’s firm.,There is no client confidentiality that must be preserved.,The agency agreement must name all associate brokers who are authorized to act as supervisory brokers.,A designated agent may represent both parties in a single transaction without being a dual agent for either.,3,PREP-AL-11.16,"A designated agency agreement must contain the name of all associate brokers who are authorized to act as supervisory brokers. A listing agreement or a buyer's agency agreement may be amended to establish a designated agency relationship, to change a designated agent, or to change supervisory brokers at any time pursuant to a written addendum."
"In addition to creating contractual obligations, a listing agreement creates",an agency relationship with fiduciary obligations,a general partnership with financial obligations,a joint venture,a temporary business entity subject to corporation regulations,1,PREP-AL-12.1,A listing agreement establishes an agency relationship between agent and client that commits the agent to the full complement of fiduciary duties to the client in fulfilling the agreement
The scope of authority granted by a listing agreement generally allows the agent to,create contractual obligations for the client,negotiate the selling price between client and customer,"hire inspectors, architects, and other individuals to prepare the property for marketing",advertise and show the property,4,PREP-AL-12.2,"A listing agreement authorizes a broker to undertake actions relevant to achieving the performance objective. Authorized activities usually include the following:  •show or seek property  •locate buyer, seller, tenant, or landlord  •communicate the client's transaction terms  •promote features and advantages of the terms to customers  •assist in negotiating a meeting of the minds between parties"
"Even if legally valid, oral listings are generally not advisable for an agent because",they do not specify a commission,they are not recognized by cooperating brokers,they can be difficult to enforce if disputed,they have no expiration date,3,PREP-AL-12.3,"A valid listing may be oral or written. However, many states consider only a written listing to be enforceable, particularly an exclusive right-to-sell listing. In practice, a broker should get every listing in writing and make sure it clearly states what the broker is authorized to do and how the broker will be paid. An oral listing, even if enforceable, limits a broker's ability to remedy problems:  •a contested oral listing must be supported by considerable evidence to be enforced  •a broker may not be able to sue a principal for damages incurred under an oral lease  •if the client dies, the broker may not be able to obtain compensation for a successfully performed oral listing"
"A salesperson, without an oral or written listing agreement, brings potential buyers to the seller.  The seller says, ""You can bring me buyers if you want, but I'm not paying you a commission.""  The salesperson then continues to direct buyers to the property.  Which of the following is true about this situation?","There is no agency relationship, and therefore the seller will owe no commission if one of the salesperson's buyers buys the property","An implied agency may have been created, with obligations to perform for both seller and agent","The seller and agent have an illegal, undisclosed agency relationship","The agent has an open listing with no commission agreement, and therefore no fiduciary duties to the seller",2,PREP-AL-12.4,"Clients and agents may also create an implied agency listing based on substantive actions rather than on an express agreement. For example, if a seller allows a broker to undertake certain activities toward effecting a transaction without a specific authorization, but with full knowledge and consent, an implied agency may have been created"
"An agent signs a listing agreement with a home seller, but then becomes too busy to fulfill the agreement.  To alleviate the problem, the agent assigns the agreement to a competing broker.  Which of the following is true about this situation?",The agent cannot assign the listing agreement,The new broker acquires the full set of fiduciary duties to the client,The new broker has to split any commission that results with the assigning broker,The original broker has to disclose the assignment to the seller,1,PREP-AL-12.5,"Since a listing agreement is a personal service contract, it is not assignable. In particular, a broker cannot assign a listing to another broker"
"From an agent's point of view, the most desirable form of listing agreement is a(n)",exclusive agency,exclusive right to sell,open,net,2,PREP-AL-12.6,"The exclusive right-to-sell agreement is the most widely used owner agreement. Under the terms of this listing, a seller contracts exclusively with a single broker to procure a buyer or effect a sale transaction. If a buyer is procured during the listing period, the broker is entitled to a commission, regardless of who is procuring cause"
What kind of listing agreement is a buyer representation agreement?,An implied listing,An informal open listing,An exclusive listing with a disclosed dual agency,"An exclusive, exclusive agency, or open listing",4,PREP-AL-12.7,"A buyer agency or tenant representation agreement authorizes a broker to represent a buyer or tenant. The most commonly used form is an exclusive right-to-represent agreement, the equivalent of an exclusive right-to-sell. However, exclusive agency and open types of agreement may be also used to secure a relationship on this side of a transaction"
What is a multiple listing?,A listing shared by a listing agent and a selling agent,A listing that a listing agent delegates to a subagent,A listing that is entered in a multiple listing service to enable cooperation with member brokers,A listing that authorizes a listing agent to market more than one property for a seller,3,PREP-AL-12.8,"Though not a distinct type of listing agreement, multiple listing is a significant feature of brokerage practice. Multiple listing is an authorization to enter a listing in a multiple listing service"
"Which of the following conditions is necessary for a customer to qualify as ""ready, willing, and able?""",The customer's offer must be accepted,The customer must be legally capable of completing the transaction,The customer must have a commitment from a lender,The customer must have no business relationship with the agent,2,PREP-AL-12.9,"A ready, willing, and able customer is one who is:  •amenable to the terms of the transaction (ready and willing)  •financially capable of paying the price and legally capable of completing the transaction (able)"
"Although a listing broker may delegate marketing responsibilities to a salesperson, the broker may not delegate the authority to",obtain and distribute compensation,provide cooperating brokers with information about the property,advertise the property,inspect the property for hazardous substances,1,PREP-AL-12.10,"In the normal course of business, a listing broker delegates marketing responsibilities to salespeople. A salesperson may not, however, seek compensation directly from a client. Only the broker can obtain and disburse the compensation"
